,Optimal Height,Optimal Value,Scenario
811,[14. 14. 14. 14. 14. 14. 14.],19647895909.943623,2
812,[13. 13. 13. 13. 13. 13. 13.],16209448487.861908,2
813,[13. 13. 13. 13. 13. 13. 13.],13749033172.709671,2
814,[15. 15. 15. 15. 15. 15. 15.],21422414923.172466,2
815,[13. 13. 13. 13. 13. 13. 13.],15389493989.857761,2
816,[13. 13. 13. 13. 13. 13. 13.],13745769092.147768,2
817,[13. 13. 13. 13. 13. 13. 13.],16220401270.292934,2
818,[12. 12. 12. 12. 12. 12. 12.],8891577875.769518,2
819,[13. 13. 13. 13. 13. 13. 13.],15383969119.536438,2
820,[12. 12. 12. 12. 12. 12. 12.],12941619097.725245,2
821,[14. 14. 14. 14. 14. 14. 14.],17047499744.525572,2
822,[14. 14. 14. 14. 14. 14. 14.],17897448575.549835,2
823,[12. 12. 12. 12. 12. 12. 12.],12941723386.145966,2
824,[14. 14. 14. 14. 14. 14. 14.],20527881531.445374,2
825,[13. 13. 13. 13. 13. 13. 13.],14152238583.62779,2
826,[14. 14. 14. 14. 14. 14. 14.],20082210114.1485,2
827,[15. 15. 15. 15. 15. 15. 15.],23837671427.724358,2
828,[12. 12. 12. 12. 12. 12. 12.],10094857867.711472,2
829,[13. 13. 13. 13. 13. 13. 13.],15394327117.079466,2
830,[11. 11. 11. 11. 11. 11. 11.],7681594863.231231,2
831,[13. 13. 13. 13. 13. 13. 13.],14983116191.074547,2
832,[12. 12. 12. 12. 12. 12. 12.],11711614338.829271,2
833,[13. 13. 13. 13. 13. 13. 13.],14168295551.83281,2
834,[12. 12. 12. 12. 12. 12. 12.],8884735167.435745,2
835,[13. 13. 13. 13. 13. 13. 13.],17056592265.03177,2
836,[13. 13. 13. 13. 13. 13. 13.],16638134163.452703,2
837,[14. 14. 14. 14. 14. 14. 14.],19648531780.56584,2
838,[15. 15. 15. 15. 15. 15. 15.],24345786848.47695,2
839,[14. 14. 14. 14. 14. 14. 14.],17475607439.314938,2
840,[10. 10. 10. 10. 10. 10. 10.],-1194816373.985459,2
841,[13. 13. 13. 13. 13. 13. 13.],13743806703.159105,2
842,[13. 13. 13. 13. 13. 13. 13.],16205874944.981918,2
843,[13. 13. 13. 13. 13. 13. 13.],14156753016.856596,2
844,[13. 13. 13. 13. 13. 13. 13.],14988012948.30363,2
845,[13. 13. 13. 13. 13. 13. 13.],16212486175.861696,2
846,[14. 14. 14. 14. 14. 14. 14.],18340574481.500515,2
847,[13. 13. 13. 13. 13. 13. 13.],14559254152.138617,2
848,[15. 15. 15. 15. 15. 15. 15.],21424616825.054314,2
849,[14. 14. 14. 14. 14. 14. 14.],18345105437.990772,2
850,[13. 13. 13. 13. 13. 13. 13.],13744621944.321966,2
851,[13. 13. 13. 13. 13. 13. 13.],15391426691.107729,2
852,[14. 14. 14. 14. 14. 14. 14.],17042446284.728718,2
853,[15. 15. 15. 15. 15. 15. 15.],21415695729.795948,2
854,[14. 14. 14. 14. 14. 14. 14.],17050251986.240774,2
855,[13. 13. 13. 13. 13. 13. 13.],14567281087.809088,2
856,[13. 13. 13. 13. 13. 13. 13.],13343025293.620813,2
857,[15. 15. 15. 15. 15. 15. 15.],22853584744.25894,2
858,[14. 14. 14. 14. 14. 14. 14.],17476474601.888107,2
859,[14. 14. 14. 14. 14. 14. 14.],20071984254.192627,2
860,[12. 12. 12. 12. 12. 12. 12.],10904083048.110735,2
861,[11. 11. 11. 11. 11. 11. 11.],6896341088.434507,2
862,[13. 13. 13. 13. 13. 13. 13.],16224853577.31993,2
863,[11. 11. 11. 11. 11. 11. 11.],6893572026.201822,2
