,Optimal Height,Optimal Value,Scenario
127,[11. 11. 13. 15. 15. 23. 23.],9287379572.36203,1
128,[13. 13. 13. 15. 18. 20. 20.],13521876183.629406,1
129,[11. 11. 12. 16. 16. 22. 29.],8780332275.872484,1
130,[10. 10. 11. 16. 17. 17. 26.],6657302869.779513,1
131,[11. 11. 13. 13. 21. 21. 21.],10355182208.142685,1
132,[12. 12. 15. 15. 17. 19. 19.],10862660563.745705,1
133,[11. 12. 13. 16. 16. 18. 18.],7294528188.47472,1
134,[11. 11. 13. 16. 16. 16. 19.],6310826873.311104,1
135,[ 9. 10. 10. 13. 15. 16. 18.],931571358.1058393,1
136,[12. 12. 14. 14. 14. 23. 23.],13524672272.713676,1
137,[11. 11. 12. 12. 18. 18. 19.],6838396616.447583,1
138,[11. 12. 15. 15. 15. 21. 21.],8188865956.838767,1
139,[11. 13. 13. 14. 14. 16. 17.],6271368093.944629,1
140,[12. 13. 15. 15. 19. 23. 23.],9839348731.405197,1
141,[11. 12. 12. 16. 20. 20. 20.],7038061598.070216,1
142,[11. 14. 14. 14. 18. 21. 21.],6386663198.577171,1
143,[ 9. 11. 11. 18. 18. 18. 25.],1558011674.9334843,1
144,[12. 12. 13. 15. 15. 15. 21.],10932110522.56967,1
145,[ 8. 14. 14. 14. 14. 24. 24.],1054422398.695165,1
146,[12. 12. 12. 15. 16. 16. 18.],9406775444.38632,1
147,[11. 14. 14. 14. 21. 21. 21.],7336465818.266619,1
148,[10. 12. 12. 15. 16. 22. 23.],4788479045.831996,1
149,[10. 12. 14. 14. 14. 19. 21.],5354679114.341574,1
150,[ 9. 11. 14. 17. 18. 19. 19.],1667899755.1344619,1
151,[11. 11. 11. 20. 20. 20. 20.],12778662864.28284,1
152,[10. 10. 15. 15. 19. 19. 20.],3103494275.551675,1
153,[12. 12. 14. 15. 21. 21. 21.],10705605086.858551,1
154,[11. 12. 13. 16. 18. 18. 22.],7359992413.647389,1
155,[11. 13. 14. 14. 19. 19. 19.],8436131538.909204,1
156,[12. 14. 14. 16. 16. 18. 18.],11929007094.840097,1
157,[ 9. 13. 13. 14. 19. 19. 19.],418379406.2580967,1
158,[11. 12. 14. 14. 18. 18. 22.],7707892622.969187,1
159,[11. 11. 15. 15. 19. 19. 20.],7420678437.342178,1
160,[11. 11. 11. 17. 17. 17. 21.],9250703137.44913,1
161,[10. 14. 14. 14. 18. 18. 18.],5477299164.776954,1
162,[12. 12. 12. 18. 18. 18. 18.],9622819982.704956,1
163,[11. 11. 11. 18. 18. 20. 20.],8424088282.177209,1
164,[11. 12. 14. 14. 17. 17. 26.],8804941938.387993,1
165,[11. 14. 14. 16. 16. 16. 19.],6677534826.86881,1
166,[11. 12. 14. 16. 25. 25. 25.],11157216276.95461,1
167,[11. 14. 14. 19. 19. 19. 19.],8837334819.79911,1
168,[11. 11. 11. 16. 16. 16. 18.],8488670746.283552,1
169,[10. 12. 14. 14. 16. 16. 22.],2710993784.6684604,1
170,[13. 13. 13. 16. 16. 16. 16.],15117017915.665773,1
