,Optimal Height,Optimal Value,Scenario
149,[18. 18. 18. 18. 22. 22. 22.],19948510677.58393,1
150,[17. 17. 17. 17. 26. 26. 26.],13852165043.115978,1
151,[20. 20. 20. 28. 28. 28. 28.],25903436273.776894,1
152,[18. 18. 18. 18. 27. 27. 27.],16109715271.375322,1
153,[20. 20. 20. 20. 30. 30. 30.],28905991993.19022,1
154,[19. 19. 19. 19. 26. 26. 26.],23459462595.96188,1
155,[19. 19. 19. 19. 27. 27. 27.],25242875187.54156,1
156,[21. 21. 21. 24. 24. 24. 24.],31271056416.10652,1
157,[17. 17. 17. 17. 27. 27. 27.],11651606839.649693,1
158,[19. 19. 19. 19. 26. 26. 26.],24038348891.515774,1
159,[19. 19. 19. 19. 27. 27. 27.],23496406691.987263,1
160,[20. 20. 20. 25. 25. 25. 25.],26373834514.102104,1
161,[18. 18. 18. 18. 26. 26. 26.],20048913508.991505,1
162,[20. 20. 20. 26. 26. 26. 26.],27017869731.299908,1
163,[19. 19. 19. 26. 26. 26. 26.],24652450660.30231,1
164,[19. 19. 19. 19. 25. 25. 25.],22855545318.599735,1
165,[19. 19. 19. 24. 24. 24. 24.],22284550452.353027,1
166,[19. 19. 19. 19. 33. 33. 33.],26302056757.612755,1
167,[20. 20. 20. 27. 27. 27. 27.],25847722720.94998,1
168,[20. 20. 20. 25. 25. 25. 25.],25174345162.840874,1
169,[18. 18. 18. 18. 24. 24. 24.],15442423177.623716,1
170,[21. 21. 21. 24. 24. 24. 24.],36708659096.16004,1
171,[17. 17. 17. 17. 29. 29. 29.],11231454353.857468,1
172,[20. 20. 20. 20. 27. 27. 27.],28171191721.47252,1
173,[20. 20. 20. 26. 26. 26. 26.],26412097934.000526,1
174,[18. 18. 18. 18. 24. 24. 24.],17131163991.20736,1
175,[20. 20. 20. 24. 24. 24. 24.],29403943446.289658,1
176,[20. 20. 20. 26. 26. 26. 26.],29447339421.546684,1
177,[19. 19. 19. 24. 24. 24. 24.],24602532437.287697,1
178,[20. 20. 20. 21. 21. 21. 21.],26329207987.90341,1
179,[18. 18. 18. 18. 25. 25. 25.],15455289721.35979,1
180,[20. 20. 20. 26. 26. 26. 26.],30700890479.075245,1
181,[18. 18. 18. 18. 18. 18. 27.],19910904647.693115,1
182,[19. 19. 19. 27. 27. 27. 27.],21253599859.70528,1
183,[19. 19. 19. 19. 26. 26. 26.],23467326653.62079,1
184,[18. 18. 18. 18. 25. 25. 25.],17170581812.27938,1
185,[18. 18. 18. 18. 24. 24. 24.],19412703096.308167,1
186,[20. 20. 20. 20. 28. 28. 28.],28809277631.795338,1
187,[19. 19. 19. 19. 35. 35. 35.],24635449020.61894,1
188,[19. 19. 19. 19. 24. 24. 24.],25732223715.04671,1
189,[20. 20. 20. 22. 22. 22. 22.],25141463741.408443,1
190,[20. 20. 20. 25. 25. 25. 25.],28823839320.867466,1
191,[18. 18. 18. 24. 24. 24. 24.],16553525787.167633,1
192,[16. 16. 16. 26. 26. 26. 26.],7680461373.966415,1
193,[20. 20. 20. 23. 23. 23. 23.],29396310389.00293,1
194,[18. 18. 18. 18. 27. 27. 27.],19489966809.232002,1
195,[19. 19. 19. 26. 26. 26. 26.],21745058842.11833,1
196,[21. 21. 21. 26. 26. 26. 26.],34652320978.75477,1
197,[18. 18. 18. 18. 25. 25. 25.],18288875347.814384,1
198,[19. 19. 19. 19. 31. 31. 31.],26012753884.633953,1
199,[18. 18. 18. 18. 22. 22. 22.],19950059260.834892,1
200,[18. 18. 18. 18. 19. 19. 19.],17650774825.408802,1
201,[21. 21. 21. 28. 28. 28. 28.],31343317159.106483,1
202,[17. 17. 17. 17. 31. 31. 31.],14991844038.385798,1
203,[20. 20. 20. 24. 24. 24. 24.],25752585767.93835,1
204,[18. 18. 18. 18. 21. 21. 21.],18220429034.543655,1
205,[19. 19. 19. 19. 21. 21. 21.],21648043388.050964,1
206,[19. 19. 19. 21. 21. 21. 21.],21651394547.85416,1
207,[18. 18. 18. 18. 26. 26. 26.],19475880055.9249,1
208,[18. 18. 18. 18. 18. 18. 28.],17591697472.21584,1
209,[20. 20. 20. 23. 23. 23. 23.],29400989314.92889,1
210,[18. 18. 18. 18. 18. 18. 18.],16503522519.09122,1
211,[18. 18. 18. 18. 26. 26. 26.],16620756374.515717,1
212,[19. 19. 19. 19. 26. 26. 26.],23462138286.41833,1
213,[21. 21. 21. 22. 22. 22. 22.],31243004829.600204,1
214,[20. 20. 20. 22. 22. 22. 22.],28161373400.280403,1
215,[20. 20. 20. 20. 28. 28. 28.],27007121375.37733,1
216,[18. 18. 18. 18. 27. 27. 27.],20070010549.435352,1
217,[19. 19. 19. 19. 28. 28. 28.],20639412053.944324,1
218,[19. 19. 19. 19. 25. 25. 25.],21700631812.165043,1
219,[20. 20. 20. 23. 23. 23. 23.],25148192059.900154,1
220,[20. 20. 20. 26. 26. 26. 26.],25226156118.189316,1
221,[19. 19. 19. 19. 26. 26. 26.],23450434233.567272,1
222,[21. 21. 21. 25. 25. 25. 25.],32573205775.407894,1
223,[20. 20. 20. 25. 25. 25. 25.],27582670840.314396,1
224,[19. 19. 19. 25. 25. 25. 25.],24054186605.785507,1
225,[21. 21. 21. 27. 27. 27. 27.],31319706763.05831,1
226,[19. 19. 19. 19. 23. 23. 23.],21080592926.517456,1
